2.36 7.02304e-310	-3.47672e-314	1	0	100	inf
2.37 7.02304e-310	-3.47672e-314	1	0	100	inf
2.38 7.02304e-310	-3.47672e-314	1	0	100	inf
2.39 7.02304e-310	-3.47672e-314	1	0	100	inf
2.4 7.02304e-310	-3.47672e-314	1	0	100	inf
2.41 7.02304e-310	-3.47672e-314	1	0	100	inf
2.42 7.02304e-310	-3.47672e-314	1	0	100	inf
2.43 7.02304e-310	-3.47672e-314	1	0	100	inf
2.44 7.02304e-310	-3.47672e-314	1	0	100	inf
2.45 7.02304e-310	-3.47672e-314	1	0	100	inf
2.46 7.02304e-310	-3.47672e-314	1	0	100	inf
2.47 7.02304e-310	-3.47672e-314	1	0	100	inf
2.48 7.02304e-310	-3.47672e-314	1	0	100	inf
2.49 7.02304e-310	-3.47672e-314	1	0	100	inf
2.5 7.02304e-310	-3.47672e-314	1	0	100	inf
2.51 7.02304e-310	-3.47672e-314	1	0	100	inf
2.52 7.02304e-310	-3.47672e-314	1	0	100	inf
2.53 7.02304e-310	-3.47672e-314	1	0	100	inf
2.54 7.02304e-310	-3.47672e-314	1	0	100	inf
2.55 7.02304e-310	-3.47672e-314	1	0	100	inf
2.56 7.02304e-310	-3.47672e-314	1	0	100	inf
2.57 7.02304e-310	-3.47672e-314	1	0	100	inf
2.58 7.02304e-310	-3.47672e-314	1	0	100	inf
2.59 7.02304e-310	-3.47672e-314	1	0	100	inf
2.6 7.02304e-310	-3.47672e-314	1	0	100	inf
2.61 7.02304e-310	-3.47672e-314	1	0	100	inf
2.62 7.02304e-310	-3.47672e-314	1	0	100	inf
2.63 7.02304e-310	-3.47672e-314	1	0	100	inf
2.64 7.02304e-310	-3.47672e-314	1	0	100	inf
2.65 7.02304e-310	-3.47672e-314	1	0	100	inf
2.66 7.02304e-310	-3.47672e-314	1	0	100	inf
2.67 7.02304e-310	-3.47672e-314	1	0	100	inf
2.68 7.02304e-310	-3.47672e-314	1	0	100	inf
2.69 7.02304e-310	-3.47672e-314	1	0	100	inf
2.7 7.02304e-310	-3.47672e-314	1	0	100	inf
2.71 7.02304e-310	-3.47672e-314	1	0	100	inf
2.72 7.02304e-310	-3.47672e-314	1	0	100	inf
2.73 7.02304e-310	-3.47672e-314	1	0	100	inf
2.74 7.02304e-310	-3.47672e-314	1	0	100	inf
2.75 7.02304e-310	-3.47672e-314	1	0	100	inf
2.76 7.02304e-310	-3.47672e-314	1	0	100	inf
2.77 7.02304e-310	-3.47672e-314	1	0	100	inf
2.78 7.02304e-310	-3.47672e-314	1	0	100	inf
2.79 7.02304e-310	-3.47672e-314	1	0	100	inf
2.8 7.02304e-310	-3.47672e-314	1	0	100	inf
2.81 7.02304e-310	-3.47672e-314	1	0	100	inf
2.82 7.02304e-310	-3.47672e-314	1	0	100	inf
2.83 7.02304e-310	-3.47672e-314	1	0	100	inf
2.84 7.02304e-310	-3.47672e-314	1	0	100	inf
2.85 7.02304e-310	-3.47672e-314	1	0	100	inf
2.86 7.02304e-310	-3.47672e-314	1	0	100	inf
2.87 7.02304e-310	-3.47672e-314	1	0	100	inf
2.88 7.02304e-310	-3.47672e-314	1	0	100	inf
2.89 7.02304e-310	-3.47672e-314	1	0	100	inf
2.9 7.02304e-310	-3.47672e-314	1	0	100	inf
2.91 7.02304e-310	-3.47672e-314	1	0	100	inf
2.92 7.02304e-310	-3.47672e-314	1	0	100	inf
2.93 7.02304e-310	-3.47672e-314	1	0	100	inf
2.94 7.02304e-310	-3.47672e-314	1	0	100	inf
2.95 7.02304e-310	-3.47672e-314	1	0	100	inf
2.96 7.02304e-310	-3.47672e-314	1	0	100	inf
